Date,Forecast_Demand,SKU,SKU_Name
2024-01-01,14.399999300123094,APPL-001,
2024-01-02,14.438588456354571,APPL-001,
2024-01-03,14.15251758626032,APPL-001,
2024-01-04,13.240945584657664,APPL-001,
2024-01-05,13.617313217769071,APPL-001,
2024-01-06,13.222447506173172,APPL-001,
2024-01-07,13.868748601264604,APPL-001,
2024-01-08,14.39533511765598,APPL-001,
2024-01-09,14.43392427388823,APPL-001,
2024-01-10,14.147853403795446,APPL-001,
2024-01-11,13.236281402192049,APPL-001,
2024-01-12,13.612649035303594,APPL-001,
2024-01-13,13.217783323707245,APPL-001,
2024-01-14,13.864084418800497,APPL-001,
2024-01-15,14.390670935191014,APPL-001,
2024-01-16,14.42926009142189,APPL-001,
2024-01-17,14.143189221328331,APPL-001,
2024-01-18,13.231617219726012,APPL-001,
2024-01-19,13.607984852838117,APPL-001,
2024-01-20,13.213119141241828,APPL-001,
2024-01-21,13.859420236333234,APPL-001,
2024-01-22,14.386006752726056,APPL-001,
2024-01-23,14.42459590895715,APPL-001,
2024-01-24,14.138525038865064,APPL-001,
2024-01-25,13.22695303728211,APPL-001,
2024-01-26,13.603320670415703,APPL-001,
2024-01-27,13.208454958841552,APPL-001,
2024-01-28,13.85475605395598,APPL-001,
2024-01-29,14.381342570367512,APPL-001,
2024-01-30,14.419931726622693,APPL-001,
2024-01-31,14.133860856551069,APPL-001,
2024-02-01,13.222288854968262,APPL-001,
2024-02-02,13.598656488101856,APPL-001,
2024-02-03,13.20379077652706,APPL-001,
2024-02-04,13.850091871639938,APPL-001,
2024-02-05,14.376678388052785,APPL-001,
2024-02-06,14.41526754430835,APPL-001,
2024-02-07,14.129196674237075,APPL-001,
2024-02-08,13.21762467265464,APPL-001,
2024-02-09,13.593992305788046,APPL-001,
2024-02-10,13.199126594212569,APPL-001,
2024-02-11,13.84542768932625,APPL-001,
2024-02-12,14.372014205741584,APPL-001,
2024-02-13,14.410603361994005,APPL-001,
2024-02-14,14.124532491921954,APPL-001,
2024-02-15,13.2129604903406,APPL-001,
2024-02-16,13.58932812347456,APPL-001,
2024-02-17,13.194462411899147,APPL-001,
2024-02-18,13.84076350707887,APPL-001,
2024-02-19,14.367350023559462,APPL-001,
2024-02-20,14.4059391798798,APPL-001,
2024-02-21,14.119868309872055,APPL-001,
2024-02-22,13.208296308358502,APPL-001,
2024-02-23,13.584663941558183,APPL-001,
2024-02-24,13.189798230049858,APPL-001,
2024-02-25,13.836099325226954,APPL-001,
2024-02-26,14.362685841710633,APPL-001,
2024-02-27,14.401274998031186,APPL-001,
2024-02-28,14.115204128026033,APPL-001,
2024-02-29,13.203632126508596,APPL-001,
2024-03-01,13.579999759708825,APPL-001,
2024-03-02,13.18513404820006,APPL-001,
2024-03-03,13.8314351433774,APPL-001,
2024-03-04,14.358021659860034,APPL-001,
2024-03-05,14.396610816179376,APPL-001,
2024-03-06,14.11053994617729,APPL-001,
2024-03-07,13.198967944659715,APPL-001,
2024-03-08,13.575335577859112,APPL-001,
2024-03-09,13.180469866349693,APPL-001,
2024-03-10,13.826770961529416,APPL-001,
2024-03-11,14.353357478011205,APPL-001,
2024-03-12,14.391946635214287,APPL-001,
2024-03-13,14.10587576609336,APPL-001,
2024-03-14,13.194303765460386,APPL-001,
2024-03-15,13.570671399543864,APPL-001,
2024-03-16,13.175805688919109,APPL-001,
2024-03-17,13.822106784979445,APPL-001,
2024-03-18,14.348693302344897,APPL-001,
2024-03-19,14.387282459548754,APPL-001,
2024-03-20,14.101211590427054,APPL-001,
2024-03-21,13.18963958979558,APPL-001,
2024-03-22,13.566007223878836,APPL-001,
2024-03-23,13.171141513252918,APPL-001,
2024-03-24,13.817442609316144,APPL-001,
2024-03-25,14.344029126680743,APPL-001,
2024-03-26,14.382618283884824,APPL-001,
2024-03-27,14.096547414761872,APPL-001,
2024-03-28,13.184975414129932,APPL-001,
2024-03-29,13.561343048213836,APPL-001,
2024-03-30,13.16647733758939,APPL-001,
2024-03-31,13.81277843365284,APPL-001,
2024-04-01,14.339364951014828,APPL-001,
2024-04-02,14.377954108218924,APPL-001,
2024-04-03,14.091883239098284,APPL-001,
2024-04-04,13.180311239524586,APPL-001,
2024-04-05,13.55667887466773,APPL-001,
2024-04-06,13.1618131651021,APPL-001,
2024-04-07,13.80811426222583,APPL-001,
2024-04-08,14.33470078064977,APPL-001,
2024-04-09,14.373289938910183,APPL-001,
2024-04-10,14.087219070850484,APPL-001,
2024-04-11,13.175647071276044,APPL-001,
2024-04-12,13.55201470641896,APPL-001,
2024-04-13,13.157148996853758,APPL-001,
2024-04-14,13.803450093976435,APPL-001,
2024-04-15,14.330036612400113,APPL-001,
2024-04-16,14.368625770660913,APPL-001,
2024-04-17,14.082554902600442,APPL-001,
2024-04-18,13.17098290302708,APPL-001,
2024-04-19,13.547350538170225,APPL-001,
2024-04-20,13.152484828605417,APPL-001,
2024-04-21,13.798785925726245,APPL-001,
2024-04-22,14.325372444150464,APPL-001,
2024-04-23,14.363961602413244,APPL-001,
2024-04-24,14.077890734351522,APPL-001,
2024-04-25,13.166318734779573,APPL-001,
2024-04-26,13.54268636992182,APPL-001,
2024-04-27,13.147820660357072,APPL-001,
2024-04-28,13.79412175725231,APPL-001,
2024-04-29,14.320708275448386,APPL-001,
2024-04-30,14.359297433484508,APPL-001,
2024-05-01,14.073226565195,APPL-001,
2024-05-02,13.161654565395686,APPL-001,
2024-05-03,13.538022200311284,APPL-001,
2024-05-04,13.143156490519354,APPL-001,
2024-05-05,13.7894575874154,APPL-001,
2024-05-06,14.316044105610436,APPL-001,
2024-05-07,14.35463326364854,APPL-001,
2024-05-08,14.068562395357787,APPL-001,
2024-05-09,13.156990395558845,APPL-001,
2024-05-10,13.533358030474584,APPL-001,
2024-05-11,13.1384923206822,APPL-001,
2024-05-12,13.784793417578491,APPL-001,
2024-05-13,14.31137993577601,APPL-001,
2024-05-14,14.349969093809378,APPL-001,
2024-05-15,14.063898225519443,APPL-001,
2024-05-16,13.152326225722192,APPL-001,
2024-05-17,13.528693860637876,APPL-001,
2024-05-18,13.133828150844485,APPL-001,
2024-05-19,13.780129247741584,APPL-001,
2024-05-20,14.306715765938067,APPL-001,
