Date,Forecast_Demand,SKU
2024-01-01,14.782687320395626,APPL-001
2024-01-02,13.84070725706825,APPL-001
2024-01-03,13.717868909418403,APPL-001
2024-01-04,13.185968392328768,APPL-001
2024-01-05,13.725452762074205,APPL-001
2024-01-06,13.2360324797814,APPL-001
2024-01-07,14.015917485234795,APPL-001
2024-01-08,14.788750189163041,APPL-001
2024-01-09,13.84677012583439,APPL-001
2024-01-10,13.723931778185879,APPL-001
2024-01-11,13.192031261095604,APPL-001
2024-01-12,13.731515630842303,APPL-001
2024-01-13,13.242095348548297,APPL-001
2024-01-14,14.021980354004373,APPL-001
2024-01-15,14.794813057930671,APPL-001
2024-01-16,13.85283299460053,APPL-001
2024-01-17,13.72999464695246,APPL-001
2024-01-18,13.198094129863016,APPL-001
2024-01-19,13.73757849961039,APPL-001
2024-01-20,13.24815821731605,APPL-001
2024-01-21,14.028043222769377,APPL-001
2024-01-22,14.80087592669829,APPL-001
2024-01-23,13.85889586336804,APPL-001
2024-01-24,13.736057515720564,APPL-001
2024-01-25,13.20415699894393,APPL-001
2024-01-26,13.74364136900516,APPL-001
2024-01-27,13.254221087026043,APPL-001
2024-01-28,14.034106092795263,APPL-001
2024-01-29,14.8069387970361,APPL-001
2024-01-30,13.864958734020021,APPL-001
2024-01-31,13.742120386686135,APPL-001
2024-02-01,13.210219869910159,APPL-001
2024-02-02,13.749704239970317,APPL-001
2024-02-03,13.260283957990243,APPL-001
2024-02-04,14.0401689637573,APPL-001
2024-02-05,14.813001668000226,APPL-001
2024-02-06,13.871021604984701,APPL-001
2024-02-07,13.748183257651704,APPL-001
2024-02-08,13.216282740875542,APPL-001
2024-02-09,13.755767110936414,APPL-001
2024-02-10,13.26634682895444,APPL-001
2024-02-11,14.046231834723127,APPL-001
2024-02-12,14.819064538968417,APPL-001
2024-02-13,13.87708447594937,APPL-001
2024-02-14,13.75424612861682,APPL-001
2024-02-15,13.22234561184148,APPL-001
2024-02-16,13.761829981903038,APPL-001
2024-02-17,13.272409699920733,APPL-001
2024-02-18,14.052294705473166,APPL-001
2024-02-19,14.82512740950096,APPL-001
2024-02-20,13.883147346270366,APPL-001
2024-02-21,13.760308998718774,APPL-001
2024-02-22,13.228408481727897,APPL-001
2024-02-23,13.767892851571965,APPL-001
2024-02-24,13.27847256937648,APPL-001
2024-02-25,14.058357574924656,APPL-001
2024-02-26,14.831190278956571,APPL-001
2024-02-27,13.889210215725878,APPL-001
2024-02-28,13.766371868175316,APPL-001
2024-02-29,13.234471351183291,APPL-001
2024-03-01,13.773955721028049,APPL-001
2024-03-02,13.28453543883137,APPL-001
2024-03-03,14.064420444379941,APPL-001
2024-03-04,14.837253148410158,APPL-001
2024-03-05,13.89527308517863,APPL-001
2024-03-06,13.772434737630782,APPL-001
2024-03-07,13.240534220637844,APPL-001
2024-03-08,13.780018590482658,APPL-001
2024-03-09,13.290598308285027,APPL-001
2024-03-10,14.070483313837514,APPL-001
2024-03-11,14.843316017865769,APPL-001
2024-03-12,13.901335954669861,APPL-001
2024-03-13,13.778497607156812,APPL-001
2024-03-14,13.24659709020042,APPL-001
2024-03-15,13.786081460081643,APPL-001
2024-03-16,13.296661177921486,APPL-001
2024-03-17,14.07654618350486,APPL-001
2024-03-18,14.849378887571262,APPL-001
2024-03-19,13.90739882437407,APPL-001
2024-03-20,13.784560476861461,APPL-001
2024-03-21,13.252659959905323,APPL-001
2024-03-22,13.792144329786325,APPL-001
2024-03-23,13.302724047624363,APPL-001
2024-03-24,14.082609053212504,APPL-001
2024-03-25,14.85544175727695,APPL-001
2024-03-26,13.91346169407965,APPL-001
2024-03-27,13.790623346566555,APPL-001
2024-03-28,13.258722829611369,APPL-001
2024-03-29,13.798207199491948,APPL-001
2024-03-30,13.308786917332277,APPL-001
2024-03-31,14.088671922920145,APPL-001
2024-04-01,14.861504626980608,APPL-001
2024-04-02,13.919524563786172,APPL-001
2024-04-03,13.796686216272278,APPL-001
2024-04-04,13.264785699893661,APPL-001
2024-04-05,13.804270070351418,APPL-001
2024-04-06,13.314849788768182,APPL-001
2024-04-07,14.094734794935068,APPL-001
2024-04-08,14.867567499575289,APPL-001
2024-04-09,13.925587436954732,APPL-001
2024-04-10,13.80274909001956,APPL-001
2024-04-11,13.270848573640315,APPL-001
2024-04-12,13.81033294409784,APPL-001
2024-04-13,13.320912662515742,APPL-001
2024-04-14,14.100797668680666,APPL-001
2024-04-15,14.873630373320683,APPL-001
2024-04-16,13.931650310700679,APPL-001
2024-04-17,13.808811963765958,APPL-001
2024-04-18,13.276911447387526,APPL-001
2024-04-19,13.816395817845205,APPL-001
2024-04-20,13.326975536263308,APPL-001
2024-04-21,14.10686054242548,APPL-001
2024-04-22,14.879693247066083,APPL-001
2024-04-23,13.937713184448004,APPL-001
2024-04-24,13.814874837512797,APPL-001
2024-04-25,13.28297432113332,APPL-001
2024-04-26,13.822458691593113,APPL-001
2024-04-27,13.333038410010868,APPL-001
2024-04-28,14.112923416630125,APPL-001
2024-04-29,14.885756121725857,APPL-001
2024-04-30,13.943776059563419,APPL-001
2024-05-01,13.820937713080664,APPL-001
2024-05-02,13.289037197157398,APPL-001
2024-05-03,13.828521568069604,APPL-001
2024-05-04,13.339101286943148,APPL-001
2024-05-05,14.118986293564024,APPL-001
2024-05-06,14.891818998658065,APPL-001
2024-05-07,13.949838936497546,APPL-001
2024-05-08,13.827000590014308,APPL-001
2024-05-09,13.295100074090847,APPL-001
2024-05-10,13.83458444500431,APPL-001
2024-05-11,13.345164163876664,APPL-001
2024-05-12,14.125049170497928,APPL-001
2024-05-13,14.89788187559433,APPL-001
2024-05-14,13.955901813428923,APPL-001
2024-05-15,13.833063466947511,APPL-001
2024-05-16,13.301162951024583,APPL-001
2024-05-17,13.840647321939016,APPL-001
2024-05-18,13.351227040808936,APPL-001
2024-05-19,14.131112047431834,APPL-001
2024-05-20,14.903944752526538,APPL-001
2024-05-21,13.961964690282095,APPL-001
2024-05-22,13.839126343720306,APPL-001
2024-05-23,13.307225827715161,APPL-001
2024-05-24,13.846710198546937,APPL-001
2024-05-25,13.357289917340605,APPL-001
2024-05-26,14.137174923876195,APPL-001
2024-05-27,14.910007628893858,APPL-001
2024-05-28,13.968027566649507,APPL-001
2024-05-29,13.845189220086791,APPL-001
2024-05-30,13.313288704082467,APPL-001
2024-05-31,13.852773074914932,APPL-001
2024-06-01,13.363352793706166,APPL-001
2024-06-02,14.14323780024339,APPL-001
2024-06-03,14.916070505259352,APPL-001
2024-06-04,13.974090443014173,APPL-001
2024-06-05,13.851252096454168,APPL-001
2024-06-06,13.31935158044978,APPL-001
2024-06-07,13.858835951282387,APPL-001
2024-06-08,13.369415670071731,APPL-001
2024-06-09,14.149300676612867,APPL-001
2024-06-10,14.922133381626875,APPL-001
2024-06-11,13.980153319381593,APPL-001
2024-06-12,13.85731497282217,APPL-001
2024-06-13,13.325414422115749,APPL-001
2024-06-14,13.864898758247705,APPL-001
2024-06-15,13.37547844233746,APPL-001
2024-06-16,14.155363414172417,APPL-001
2024-06-17,14.9281960844877,APPL-001
2024-06-18,13.986215987543286,APPL-001
2024-06-19,13.86337760627973,APPL-001
2024-06-20,13.331477055573114,APPL-001
2024-06-21,13.870961391704846,APPL-001
2024-06-22,13.381541075793649,APPL-001
2024-06-23,14.16142604762873,APPL-001
2024-06-24,14.934258717945847,APPL-001
2024-06-25,13.992278621001326,APPL-001
2024-06-26,13.869440239736836,APPL-001
2024-06-27,13.337539689031615,APPL-001
2024-06-28,13.877024025161987,APPL-001
2024-06-29,13.38760370925316,APPL-001
2024-06-30,14.167488681086542,APPL-001
2024-07-01,14.94032135140196,APPL-001
